State,Number BAC=0,Percent BAC=0,Number BAC=0.01-0.09,Percent BAC = 0.01-0.09,Number BAC = 0.10+,Percent BAC = 0.10+,Number Killed in Alcohol Related Crashes,Percent Killed Alcohol Related Crashes,Total Killed in All Accidents,Percent,Year,"Population, US Census",Direct Ship,Beer Per Capita,Wine Per Capita,Spirits Per Capita
CA,"2,610",60,254,6,"1,466",34,"1,719",40,"4,329",100,2005,"35,827,943",0,1.02,0.53,0.68
CA,"2,477",60,276,7,"1,367",33,"1,643",40,"4,120",100,2004,"35,574,576",0,1.06,0.51,0.67
CA,"2,589",61,249,6,"1,378",33,"1,626",39,"4,215",100,2003,"35,253,159",0,1.06,0.5,0.65
CA,"2,466",60,300,7,"1,312",32,"1,612",40,"4,078",100,2002,"34,871,843",0,1.07,0.49,0.63
CA,"4,045",76,251,5,"1,006",19,"1,257",24,"5,302",100,2001,"34,479,458",0,1.08,0.48,0.64
CA,"2,352",63,340,9,"1,061",28,"1,401",37,"3,753",100,2000,"33,987,977",0,1.07,0.48,0.64
CO,362,60,31,5,213,35,244,40,606,100,2005,"4,631,888",0,1.3,0.41,0.99
CO,406,61,34,5,225,34,259,39,665,100,2004,"4,575,013",0,1.3,0.43,0.95
CO,386,61,26,4,221,35,246,39,632,100,2003,"4,528,732",0,1.34,0.4,0.87
CO,435,59,39,5,268,36,307,41,742,100,2002,"4,490,406",0,1.35,0.39,0.9
CO,701,72,51,5,226,23,277,28,978,100,2001,"4,425,687",0,1.42,0.41,0.96
CO,425,62,58,8,198,29,256,38,681,100,2000,"4,326,921",0,1.35,0.37,0.89
CT,154,56,19,7,101,37,120,44,274,100,2005,"3,506,956",0,0.9,0.54,0.79
CT,164,56,15,5,112,38,127,44,291,100,2004,"3,496,094",0,0.92,0.53,0.79
CT,163,55,17,6,114,39,131,45,294,100,2003,"3,484,336",0,0.93,0.52,0.77
CT,182,57,17,5,123,38,140,43,322,100,2002,"3,458,749",0,0.95,0.5,0.74
CT,284,67,21,5,117,28,138,33,422,100,2001,"3,432,835",0,0.95,0.5,0.74
CT,184,54,40,12,119,35,158,46,342,100,2000,"3,411,777",0,0.94,0.49,0.74
DC,22,45,5,11,21,44,26,55,48,100,2005,"567,136",0,1.38,0.92,1.53
DC,26,59,5,12,12,28,18,41,43,100,2004,"567,754",0,1.41,0.94,1.57
DC,33,50,4,6,29,44,34,50,67,100,2003,"568,502",0,1.4,0.9,1.54
DC,22,48,3,5,22,47,25,52,47,100,2002,"573,158",0,1.36,0.84,1.47
DC,55,63,6,7,25,29,32,37,86,100,2001,"574,504",0,1.33,0.82,1.46
DC,30,61,5,10,14,29,19,39,49,100,2000,"572,046",0,1.35,0.7,1.48
DE,68,51,6,5,59,44,66,49,134,100,2005,"845,150",0,1.43,0.59,1.25
DE,83,62,3,2,48,36,51,38,134,100,2004,"830,803",0,1.41,0.57,1.28
DE,82,58,9,6,51,36,60,42,142,100,2003,"818,003",0,1.37,0.56,1.17
DE,73,59,8,6,43,34,51,41,124,100,2002,"806,169",0,1.39,0.52,1.1
DE,132,72,7,4,45,24,51,28,183,100,2001,"795,699",0,1.38,0.49,1.06
DE,63,51,11,9,49,40,60,49,123,100,2000,"786,373",0,1.36,0.48,1.05
FL,"2,072",58,201,6,"1,271",36,"1,471",42,"3,543",100,2005,"17,842,038",0,1.34,0.47,0.91
FL,"2,023",62,169,5,"1,053",32,"1,222",38,"3,244",100,2004,"17,415,318",0,1.35,0.46,0.89
FL,"1,895",60,185,6,"1,089",34,"1,274",40,"3,169",100,2003,"17,004,085",0,1.32,0.44,0.86
FL,"1,856",59,177,6,"1,099",35,"1,276",41,"3,132",100,2002,"16,689,370",0,1.32,0.43,0.84
FL,"3,350",78,159,4,795,18,954,22,"4,304",100,2001,"16,356,966",0,1.33,0.4,0.82
FL,"1,808",60,261,9,930,31,"1,191",40,"2,999",100,2000,"16,047,515",0,1.32,0.4,0.82
GA,"1,184",68,82,5,463,27,545,32,"1,729",100,2005,"8,925,922",0,1.13,0.26,0.63
GA,"1,109",68,75,5,450,28,525,32,"1,634",100,2004,"8,769,252",0,1.17,0.26,0.63
GA,"1,115",70,68,4,420,26,488,30,"1,603",100,2003,"8,622,793",0,1.19,0.26,0.66
GA,994,65,90,6,439,29,529,35,"1,523",100,2002,"8,508,256",0,1.2,0.26,0.65
GA,"1,858",80,88,4,371,16,459,20,"2,317",100,2001,"8,377,038",0,1.19,0.26,0.65
GA,971,63,132,9,438,28,570,37,"1,541",100,2000,"8,227,303",0,1.22,0.26,0.69
HI,69,49,13,9,58,42,71,51,140,100,2005,"1,292,729",0,1.32,0.46,0.74
HI,77,54,13,9,52,37,65,46,142,100,2004,"1,273,569",0,1.39,0.49,0.68
HI,63,47,18,14,54,40,72,53,135,100,2003,"1,251,154",0,1.3,0.42,0.67
HI,69,58,10,8,41,34,50,42,119,100,2002,"1,239,613",0,1.27,0.39,0.62
HI,133,71,10,6,45,24,55,29,188,100,2001,"1,225,948",0,1.3,0.38,0.6
HI,77,59,17,13,37,28,54,41,131,100,2000,"1,213,519",0,1.33,0.39,0.6
IA,332,74,16,4,102,23,118,26,450,100,2005,"2,964,454",0,1.37,0.16,0.6
IA,280,72,19,5,91,23,110,28,390,100,2004,"2,953,635",0,1.37,0.16,0.57
IA,296,67,26,6,119,27,145,33,441,100,2003,"2,941,999",0,1.37,0.15,0.53
IA,273,68,24,6,107,27,131,32,404,100,2002,"2,934,234",0,1.37,0.14,0.51
IA,471,78,29,5,105,17,135,22,605,100,2001,"2,931,997",0,1.36,0.13,0.5
IA,321,72,24,6,100,22,124,28,445,100,2000,"2,929,067",0,1.35,0.13,0.5
ID,186,68,5,2,85,31,89,32,275,100,2005,"1,428,241",0,1.1,0.73,0.61
